"","trt","days","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","Apivar",0,69.9105659110843,4.68217365142178,Inf,61.3104702967598,79.7170075902413,"Apivar","0"
"2","Apiguard_Api",0,68.3402735120234,4.23781723212473,Inf,60.5192093623423,77.1720753279419,"Apiguard_Api","0"
"3","AEC",0,72.1603782081643,4.31881730244797,Inf,64.1732697846304,81.141574998761,"AEC","0"
"4","Apivar",21,91.3131448676608,6.41285491605988,Inf,79.5708583335984,104.788242834647,"Apivar","21"
"5","Apiguard_Api",21,84.9251997506159,6.37422861651083,Inf,73.3074248552197,98.3841618625412,"Apiguard_Api","21"
"6","AEC",21,93.6727559359536,6.74371120756228,Inf,81.3454741367474,107.868142607246,"AEC","21"
"7","Apivar",42,62.6341780714838,4.75931431381852,Inf,53.9674711959435,72.692682754148,"Apivar","42"
"8","Apiguard_Api",42,70.0135277907977,4.85615595383287,Inf,61.114238865378,80.2087069187044,"Apiguard_Api","42"
"9","AEC",42,50.3214504119803,3.11121242935713,Inf,44.578567998923,56.8041658858707,"AEC","42"
