"","trt","days","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","Apivar",0,14.9300712382726,5.962722409548,Inf,10.0945474355572,22.0819237913256,"Apivar","0"
"2","Apiguard_Api",0,14.6772805601487,5.45698022851662,Inf,10.195491732779,21.1291981090745,"Apiguard_Api","0"
"3","AEC",0,15.0217041179199,5.3166984743234,Inf,10.6190198240272,21.2497573547947,"AEC","0"
"4","Apivar",21,17.5985723798577,7.23171765242448,Inf,11.7648624517361,26.3249783904941,"Apivar","21"
"5","Apiguard_Api",21,8.081323296214,3.69272345097001,Inf,5.16423705194021,12.6461635205911,"Apiguard_Api","21"
"6","AEC",21,6.9972687958675,3.01415247882501,Inf,4.58771280959662,10.6723704455088,"AEC","21"
"7","Apivar",42,6.21091456009284,2.86219488910502,Inf,3.95389052408181,9.75632973088736,"Apivar","42"
"8","Apiguard_Api",42,7.88759916899944,3.23256835404441,Inf,5.27862991182459,11.7860546562348,"Apiguard_Api","42"
"9","AEC",42,6.31038862293616,2.32954298656625,Inf,4.39482240913565,9.06089049006963,"AEC","42"
