"","trt","days","yvar","SE","df","LCL","UCL","tvar","xvar"
"1","Apivar",0,4.00762355783557,0.395134539014647,71.2657114053791,3.21979856727602,4.79544854839511,"Apivar","0"
"2","Apiguard_Api",0,4.43344579393904,0.365787472392598,71.2657114053795,3.70413341162204,5.16275817625603,"Apiguard_Api","0"
"3","AEC",0,4.30714896699238,0.354284537977857,71.2657114053795,3.60077130260538,5.01352663137937,"AEC","0"
"4","Apivar",21,3.26753667398598,0.395134539014645,71.2657114053795,2.47971168342644,4.05536166454552,"Apivar","21"
"5","Apiguard_Api",21,2.76077010130496,0.365787472392598,71.2657114053798,2.03145771898796,3.49008248362195,"Apiguard_Api","21"
"6","AEC",21,4.36516183146846,0.354284537977857,71.2657114053798,3.65878416708147,5.07153949585546,"AEC","21"
"7","Apivar",42,2.91080416852746,0.421850705060696,81.2990357741955,2.07150038916136,3.75010794789357,"Apivar","42"
"8","Apiguard_Api",42,2.94120268993133,0.387621515982045,80.2090502407824,2.16984215262821,3.71256322723445,"Apiguard_Api","42"
"9","AEC",42,4.30292810224134,0.354427115527559,71.3299052699033,3.59627714361236,5.00957906087031,"AEC","42"
