"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","est_bee_num_by_wt_floor","mites_recov_3_washes","bees_without_mites","phor2","infest_200","dwv_num_sides_obs","dwv_tf","cdb_num_sides_obs","bees","wk_cells","dr_capbrd_cells_num","phoretic_mites_num_estimate","wk_cells_infested_estimate","dr_cells_infested_estimate","mites_total_estimate","cap_brd_indiv","indiv_total","indiv_adult_pct","indiv_capbrd_pct","bees_frames","wk_frames","honey_frames","pollen_frames","fob_at_all","fob_top_bip","pre_pattern","pre_phor2","pre_infest_200","pre_mites_tot","pre_bees","pre_bees_frames","pre_wk_cells","pre_wk_frames","pre_honey_frames","pre_pollen_frames"
"17","2","Apiguard_Api",1,"19-Sep","0","QS-MB","",4,"",396.3,396,9,387,2.27100681302044,2,5,0,2,11329.88,15298.8,323.4,257,152,NA,410,15622.2,26952.08,42.0371266336401,57.9628733663599,4.6625,2.2875,5.875,1.175,NA,NA,4,2.27100681302044,2,410,11329.88,4.6625,15298.8,2.2875,5.875,1.175
"18","D17","Apiguard_Api",1,"18-Sep","0","QR","",2,"",351,351,11,340,3.13390313390313,10,2,1,0,16463.25,27922.4,0,515,1396,NA,1912,27922.4,44385.65,37.0913797589987,62.9086202410013,6.775,4.175,4.05,0.525,NA,NA,2,3.13390313390313,10,1912,16463.25,6.775,27922.4,4.175,4.05,0.525
"19","D19","Apiguard_Api",1,"18-Sep","0","QS-MP","",2,"",356,356,37,319,10.3932584269663,30,4,1,2,11876.63,20231.2,107.8,1234,3034,NA,4269,20339,32215.63,36.8660491817171,63.1339508182829,4.8875,3.025,4.515,0.125,NA,NA,2,10.3932584269663,30,4269,11876.63,4.8875,20231.2,3.025,4.515,0.125
"20","8","Apiguard_Api",1,"19-Sep","0","QR","",3,"",307.5,307,27,280,8.78048780487805,8,0,0,0,11937.38,23993.2,0,1048,959,NA,2008,23993.2,35930.58,33.2234547841977,66.7765452158022,4.9125,3.5875,5.05,NA,NA,NA,3,8.78048780487805,8,2008,11937.38,4.9125,23993.2,3.5875,5.05,NA
"21","L75","Apiguard_Api",1,"19-Sep","0","QS-B","",3,"",412.5,412,31,381,7.51515151515152,18,0,1,0,11664,15549.6,53.9,876,1399,NA,2276,15603.5,27267.5,42.7761987714312,57.2238012285688,4.8,2.325,6.4,0.9,NA,NA,3,7.51515151515152,18,2276,11664,4.8,15549.6,2.325,6.4,0.9
"22","D21","Apivar",1,"18-Sep","0","QR","",3.5,"",343.6,343,9,334,2.61932479627474,11,0,1,0,13365,22822.8,161.7,350,1255,NA,1605,22984.5,36349.5,36.7680435769405,63.2319564230595,5.5,3.4125,3.675,0.215,NA,NA,3.5,2.61932479627474,11,1605,13365,5.5,22822.8,3.4125,3.675,0.215
"23","D22","AEC",1,"18-Sep","0","QR","",2,"",313.7,313,71,242,22.6330889384763,46,2,1,3,5971.73,16218.4,215.6,1351,3730,159,5241,16434,22405.73,26.6526910750063,73.3473089249937,2.4575,2.425,4.7,0.425,NA,NA,2,22.6330889384763,46,5241,5971.73,2.4575,16218.4,2.425,4.7,0.425
"24","D23","AEC",1,"18-Sep","0","QS-B","",2,"",314.5,314,75,239,23.8473767885533,36,4,1,0,5163.75,15131.6,53.9,1231,2723,NA,3955,15185.5,20349.25,25.3756280944015,74.6243719055985,2.125,2.2625,4.625,0.415,NA,NA,2,23.8473767885533,36,3955,5163.75,2.125,15131.6,2.2625,4.625,0.415
"25","C12","Apiguard_Api",1,"19-Sep","0","QS-P","",2,"Empty upstairs",286.5,286,26,260,9.07504363001745,44,1,1,1,10023.75,20147.6,0,909,4432,NA,5342,20147.6,30171.35,33.2227427675593,66.7772572324407,4.125,3.0125,2.79,0.54,NA,NA,2,9.07504363001745,44,5342,10023.75,4.125,20147.6,3.0125,2.79,0.54
"26","D24","Apiguard_Api",1,"18-Sep","0","QS-B","",2.5,"",324.1,324,56,268,17.2786177105832,34,0,1,0,8383.5,18141.2,269.5,1448,3084,NA,4532,18410.7,26794.2,31.2884878070627,68.7115121929373,3.45,2.7125,3.15,0.3,NA,NA,2.5,17.2786177105832,34,4532,8383.5,3.45,18141.2,2.7125,3.15,0.3
